שנה,חודש,ענף,מין,זן,שם,שוק,ממוצע_שופרסל,ממוצע_חנויות,ממוצע_שווקים_1,ממוצע_שווקים_2
2012,2012/03,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,8.24,7.50,6.00,7.00
2011,2011/09,פירות          ,אבוקדו         ,,.,קמעוני חיפה    ,9.99,9.99,7.00,8.00
2011,2011/06,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,14.49,14.00,,
2011,2011/04,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,7.99,7.90,6.50,7.00
2010,2010/08,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,22.99,,,
2010,2010/07,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,18.66,,,
2010,2010/06,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,18.99,,,
2010,2010/05,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,8.25,7.75,6.75,7.50
2010,2010/04,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,6.99,6.50,5.50,6.00
2009,2009/07,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,12.99,11.90,9.00,11.00
2009,2009/04,פירות          ,אבוקדו         ,ריד,.,קמעוני חיפה    ,,9.50,7.50,8.00
2012,2012/03,פירות          ,אבוקדו         ,ריד,.,קמעוני ירושלים ,,,5.67,6.77
2012,2012/02,פירות          ,אבוקדו         ,ריד,.,קמעוני ירושלים ,,,5.33,6.33
2011,2011/09,פירות          ,אבוקדו         ,,.,קמעוני ירושלים ,13.49,17.00,6.10,8.10
2011,2011/08,פירות          ,אבוקדו         ,,.,קמעוני ירושלים ,15.99,20.00,10.00,12.00
2011,2011/08,פירות          ,אבוקדו         ,ריד,.,קמעוני ירושלים ,27.24,29.50,19.33,22.33
2011,2011/07,פירות          ,אבוקדו         ,ריד,.,קמעוני ירושלים ,20.74,24.50,14.00,16.50
2011,2011/06,פירות          ,אבוקדו         ,ריד,.,קמעוני ירושלים ,20.70,25.00,14.50,17.50
2010,2010/08,פירות          ,אבוקדו         ,ריד,.,קמעוני ירושלים ,28.32,31.33,19.00,22.50
